employee_id,date,calls_handled,avg_call_time,escalation_count,resolution_status
EMP130,2024-05-30,31,5.07,0,Resolved
EMP138,2024-06-03,42,8.47,0,Resolved
EMP145,2024-02-17,45,8.5,4,Escalated
EMP110,2024-04-26,28,5.98,4,Escalated
EMP118,2024-02-06,44,4.6,5,Escalated
EMP102,2024-04-28,29,5.44,4,Escalated
EMP133,2024-01-14,32,5.81,4,Escalated
EMP116,2024-01-30,55,6.64,6,Escalated
EMP127,2024-03-26,39,5.0,5,Escalated
EMP103,2024-04-13,35,4.13,3,Escalated
EMP104,2024-02-05,29,7.1,6,Escalated
EMP137,2024-04-08,32,5.47,4,Escalated
EMP123,2024-02-13,32,7.52,6,Escalated
EMP112,2024-01-07,45,7.34,5,Escalated
EMP120,2024-06-20,51,4.62,4,Escalated
EMP111,2024-05-12,55,5.27,5,Escalated
EMP140,2024-02-15,30,4.48,1,Resolved
EMP105,2024-04-08,59,6.2,4,Escalated
EMP126,2024-03-09,57,7.25,5,Escalated
EMP119,2024-04-22,53,7.26,3,Escalated
EMP123,2024-05-24,31,4.15,6,Escalated
EMP122,2024-02-22,32,5.56,0,Resolved
EMP108,2024-05-25,36,5.53,4,Escalated
EMP150,2024-05-23,60,4.26,3,Escalated
EMP136,2024-01-08,37,5.06,3,Escalated
EMP109,2024-02-13,30,6.95,3,Escalated
EMP102,2024-05-13,36,5.59,4,Escalated
EMP125,2024-01-03,37,7.56,1,Resolved
EMP145,2024-02-11,46,7.33,2,Resolved
EMP109,2024-01-31,51,4.99,6,Escalated
EMP123,2024-02-27,54,6.86,6,Escalated
EMP130,2024-05-05,54,4.49,0,Resolved
EMP129,2024-06-01,42,7.32,0,Resolved
EMP143,2024-05-23,31,5.45,1,Resolved
EMP117,2024-06-20,57,7.38,4,Escalated
EMP136,2024-02-04,40,8.42,3,Escalated
EMP133,2024-03-24,44,6.47,0,Resolved
EMP148,2024-05-17,52,6.09,6,Escalated
EMP106,2024-06-03,36,5.25,0,Resolved
EMP150,2024-05-31,34,6.53,3,Escalated
EMP144,2024-06-19,29,4.17,4,Escalated
EMP120,2024-06-09,45,4.18,2,Resolved
EMP106,2024-03-04,48,6.97,6,Escalated
EMP126,2024-01-03,33,8.29,3,Escalated
EMP142,2024-01-22,31,7.2,0,Resolved
EMP124,2024-02-03,47,5.01,3,Escalated
EMP116,2024-06-08,54,7.9,4,Escalated
EMP112,2024-02-05,45,6.12,4,Escalated
EMP102,2024-01-06,28,4.57,2,Resolved
EMP133,2024-06-01,53,5.41,2,Resolved
EMP150,2024-01-26,55,5.76,0,Resolved
EMP125,2024-05-23,42,7.79,2,Resolved
EMP138,2024-05-04,44,6.88,6,Escalated
EMP138,2024-01-25,37,7.43,6,Escalated
EMP150,2024-05-08,44,8.04,2,Resolved
EMP106,2024-04-06,27,4.61,6,Escalated
EMP133,2024-04-13,35,8.47,0,Resolved
EMP136,2024-04-08,40,4.88,4,Escalated
EMP134,2024-03-29,28,4.95,2,Resolved
EMP122,2024-02-08,35,4.59,6,Escalated
EMP104,2024-05-20,45,6.05,3,Escalated
EMP147,2024-03-06,28,5.62,6,Escalated
EMP136,2024-05-06,59,4.56,1,Resolved
EMP134,2024-05-05,51,7.16,5,Escalated
EMP110,2024-02-03,30,7.34,0,Resolved
EMP125,2024-01-06,26,7.63,6,Escalated
EMP111,2024-04-01,41,8.35,2,Resolved
EMP126,2024-01-25,32,5.91,0,Resolved
EMP138,2024-02-29,43,4.18,2,Resolved
EMP131,2024-01-28,38,8.15,4,Escalated
EMP135,2024-02-28,27,8.04,2,Resolved
EMP130,2024-04-13,33,6.78,3,Escalated
EMP130,2024-05-12,60,7.73,0,Resolved
EMP134,2024-05-11,40,6.54,0,Resolved
EMP101,2024-03-14,51,7.29,0,Resolved
EMP143,2024-06-24,35,6.26,1,Resolved
EMP104,2024-01-05,25,8.16,2,Resolved
EMP129,2024-06-22,59,4.91,4,Escalated
EMP119,2024-02-07,48,7.56,1,Resolved
EMP149,2024-06-06,32,4.5,3,Escalated
EMP101,2024-05-30,40,7.96,2,Resolved
EMP117,2024-03-24,26,7.51,3,Escalated
EMP126,2024-04-29,55,6.6,5,Escalated
EMP137,2024-02-05,52,5.51,1,Resolved
EMP127,2024-03-22,32,6.4,6,Escalated
EMP140,2024-04-08,29,5.71,5,Escalated
EMP126,2024-05-03,43,5.77,0,Resolved
EMP111,2024-04-16,60,4.64,6,Escalated
EMP103,2024-02-18,59,7.4,4,Escalated
EMP126,2024-02-18,37,7.12,1,Resolved
EMP123,2024-05-15,36,8.42,6,Escalated
EMP144,2024-05-22,30,6.33,5,Escalated
EMP113,2024-03-17,41,4.44,5,Escalated
EMP127,2024-06-07,40,4.05,4,Escalated
EMP126,2024-03-29,38,4.66,3,Escalated
EMP107,2024-05-28,34,6.59,2,Resolved
EMP148,2024-05-11,52,4.48,3,Escalated
EMP102,2024-03-28,45,4.33,4,Escalated
EMP138,2024-04-26,35,6.92,0,Resolved
EMP101,2024-05-05,60,8.3,2,Resolved
EMP102,2024-05-14,27,5.74,3,Escalated
EMP119,2024-03-06,57,6.56,6,Escalated
EMP138,2024-06-27,31,6.34,3,Escalated
EMP127,2024-01-30,49,7.11,0,Resolved
EMP148,2024-04-18,50,7.55,3,Escalated
EMP143,2024-01-26,25,4.25,3,Escalated
EMP119,2024-04-08,34,4.78,4,Escalated
EMP149,2024-03-06,51,7.36,1,Resolved
EMP112,2024-03-13,59,4.67,1,Resolved
EMP118,2024-05-24,45,8.49,0,Resolved
EMP102,2024-06-20,43,7.12,2,Resolved
EMP101,2024-04-08,55,5.86,2,Resolved
EMP146,2024-02-06,25,5.39,1,Resolved
EMP137,2024-03-29,56,8.25,4,Escalated
EMP112,2024-03-29,34,5.45,3,Escalated
EMP111,2024-04-10,59,5.76,4,Escalated
EMP124,2024-05-27,59,4.81,1,Resolved
EMP122,2024-01-14,41,5.05,5,Escalated
EMP126,2024-01-25,58,6.39,0,Resolved
EMP137,2024-03-04,53,8.22,1,Resolved
EMP110,2024-01-04,42,5.48,5,Escalated
EMP117,2024-03-06,39,7.6,2,Resolved
EMP102,2024-04-18,45,7.88,2,Resolved
EMP104,2024-01-06,59,8.12,6,Escalated
EMP120,2024-03-31,25,4.96,0,Resolved
EMP117,2024-03-28,27,6.31,0,Resolved
EMP116,2024-06-15,45,6.97,6,Escalated
EMP113,2024-04-10,56,6.19,2,Resolved
EMP147,2024-06-02,31,5.67,1,Resolved
EMP104,2024-04-11,32,6.33,4,Escalated
EMP135,2024-01-09,54,5.48,0,Resolved
EMP134,2024-04-17,60,5.06,4,Escalated
EMP111,2024-03-30,43,5.22,6,Escalated
EMP120,2024-04-29,30,7.54,1,Resolved
EMP105,2024-06-19,57,4.05,5,Escalated
EMP138,2024-02-17,59,5.13,2,Resolved
EMP148,2024-03-22,47,5.96,3,Escalated
EMP104,2024-06-15,58,7.24,1,Resolved
EMP104,2024-06-25,35,6.84,1,Resolved
EMP132,2024-01-07,48,4.84,3,Escalated
EMP134,2024-02-17,35,4.77,6,Escalated
EMP141,2024-02-04,48,5.12,1,Resolved
EMP150,2024-04-14,28,8.31,5,Escalated
EMP127,2024-04-12,52,6.71,0,Resolved
EMP132,2024-02-23,43,6.02,6,Escalated
EMP142,2024-02-09,41,5.39,6,Escalated
EMP125,2024-05-02,50,6.06,0,Resolved
EMP108,2024-03-13,31,7.59,6,Escalated
EMP139,2024-04-21,50,7.23,6,Escalated
EMP110,2024-04-20,45,5.49,2,Resolved
EMP143,2024-04-24,35,8.26,0,Resolved
EMP129,2024-06-28,38,4.44,4,Escalated
EMP107,2024-05-04,34,5.95,4,Escalated
EMP119,2024-03-31,31,4.22,5,Escalated
EMP119,2024-02-16,28,4.05,2,Resolved
EMP105,2024-05-30,52,6.11,6,Escalated
EMP125,2024-03-24,42,8.18,1,Resolved
EMP103,2024-04-02,56,5.48,5,Escalated
EMP105,2024-02-05,25,5.32,0,Resolved
EMP113,2024-03-01,27,4.14,3,Escalated
EMP112,2024-01-20,32,6.28,5,Escalated
EMP143,2024-02-25,51,7.41,3,Escalated
EMP125,2024-04-28,51,5.79,0,Resolved
EMP141,2024-06-04,32,4.74,2,Resolved
EMP143,2024-02-22,26,4.4,3,Escalated
EMP132,2024-02-13,28,5.73,6,Escalated
EMP105,2024-01-26,45,6.13,1,Resolved
EMP110,2024-02-29,40,5.37,4,Escalated
EMP136,2024-01-05,38,5.02,5,Escalated
EMP119,2024-01-26,51,4.91,2,Resolved
EMP130,2024-04-01,36,7.53,2,Resolved
EMP112,2024-02-15,50,5.13,0,Resolved
EMP131,2024-05-08,50,4.4,3,Escalated
EMP101,2024-05-24,29,6.81,3,Escalated
EMP114,2024-03-23,47,4.78,6,Escalated
EMP117,2024-02-15,44,7.93,5,Escalated
EMP117,2024-03-24,53,5.3,0,Resolved
EMP107,2024-01-18,48,5.16,4,Escalated
EMP118,2024-05-28,55,6.27,2,Resolved
EMP119,2024-06-04,60,6.47,3,Escalated
EMP119,2024-05-18,40,4.74,2,Resolved
EMP106,2024-02-12,46,7.53,4,Escalated
EMP142,2024-04-30,55,8.15,3,Escalated
EMP113,2024-03-05,46,7.85,6,Escalated
EMP122,2024-05-15,44,7.44,2,Resolved
EMP101,2024-02-12,42,4.64,0,Resolved
EMP135,2024-03-26,40,6.49,4,Escalated
EMP101,2024-04-05,31,4.1,1,Resolved
EMP132,2024-01-03,43,8.2,4,Escalated
EMP140,2024-05-15,38,8.13,2,Resolved
EMP117,2024-03-29,31,6.71,2,Resolved
EMP110,2024-01-24,59,8.38,0,Resolved
EMP148,2024-03-04,47,4.39,4,Escalated
EMP106,2024-02-20,60,6.74,6,Escalated
EMP106,2024-06-05,57,8.01,6,Escalated
EMP102,2024-05-05,45,7.28,4,Escalated
EMP129,2024-03-08,52,6.9,6,Escalated
EMP110,2024-02-01,28,7.2,2,Resolved
EMP118,2024-02-04,50,6.08,3,Escalated
EMP147,2024-01-13,58,5.31,5,Escalated
EMP136,2024-05-25,26,6.02,0,Resolved
EMP137,2024-03-26,37,6.26,0,Resolved
EMP103,2024-02-19,40,6.76,4,Escalated
EMP134,2024-06-29,52,4.49,3,Escalated
EMP111,2024-05-07,27,4.39,2,Resolved
EMP125,2024-03-06,28,6.4,4,Escalated
EMP142,2024-02-06,58,5.49,5,Escalated
EMP141,2024-04-05,49,7.82,3,Escalated
EMP123,2024-03-10,34,4.41,4,Escalated
EMP112,2024-04-09,50,7.59,1,Resolved
EMP131,2024-06-23,36,7.21,6,Escalated
EMP138,2024-03-30,36,5.37,5,Escalated
EMP113,2024-01-05,47,7.18,6,Escalated
EMP137,2024-04-20,40,8.23,6,Escalated
EMP140,2024-02-01,50,7.89,5,Escalated
EMP149,2024-01-20,49,7.98,1,Resolved
EMP144,2024-01-09,31,5.53,6,Escalated
EMP103,2024-04-10,36,5.11,4,Escalated
EMP143,2024-02-01,45,8.38,2,Resolved
EMP134,2024-05-25,47,4.76,1,Resolved
EMP144,2024-02-15,58,7.68,3,Escalated
EMP145,2024-06-29,28,4.65,1,Resolved
EMP105,2024-02-12,36,5.91,0,Resolved
EMP105,2024-02-10,49,7.87,3,Escalated
EMP106,2024-02-22,39,7.84,2,Resolved
EMP109,2024-03-22,38,7.53,5,Escalated
EMP146,2024-06-09,41,5.88,0,Resolved
EMP141,2024-03-05,32,5.82,2,Resolved
EMP118,2024-04-09,56,5.66,2,Resolved
EMP133,2024-02-13,33,4.61,1,Resolved
EMP129,2024-03-27,39,4.13,3,Escalated
EMP143,2024-06-22,38,5.0,4,Escalated
EMP103,2024-03-18,33,7.16,6,Escalated
EMP118,2024-06-16,27,8.09,5,Escalated
EMP132,2024-05-26,51,8.37,6,Escalated
EMP128,2024-05-05,34,5.35,2,Resolved
EMP139,2024-05-31,40,5.08,5,Escalated
EMP127,2024-02-25,38,7.32,5,Escalated
EMP115,2024-06-03,29,5.61,1,Resolved
EMP113,2024-04-05,48,4.53,4,Escalated
EMP117,2024-02-07,33,6.23,6,Escalated
EMP146,2024-03-28,25,4.55,3,Escalated
EMP150,2024-03-10,36,7.47,6,Escalated
EMP130,2024-02-10,58,7.09,2,Resolved
EMP115,2024-05-24,38,5.6,0,Resolved
EMP130,2024-05-08,56,6.53,1,Resolved
EMP101,2024-01-08,51,5.61,1,Resolved
EMP145,2024-02-28,46,6.4,3,Escalated
EMP129,2024-01-23,28,8.06,5,Escalated
EMP122,2024-01-01,37,4.44,2,Resolved
EMP119,2024-04-29,54,5.38,0,Resolved
EMP138,2024-05-09,28,4.56,1,Resolved
EMP103,2024-05-03,25,7.05,5,Escalated
EMP135,2024-04-22,55,8.16,1,Resolved
EMP113,2024-03-15,41,5.08,3,Escalated
EMP133,2024-05-25,38,4.96,2,Resolved
EMP108,2024-01-06,32,6.71,6,Escalated
EMP113,2024-05-22,40,6.44,0,Resolved
EMP103,2024-02-12,32,8.26,3,Escalated
EMP114,2024-06-15,44,4.25,3,Escalated
EMP141,2024-06-24,29,6.98,4,Escalated
EMP115,2024-01-29,42,7.22,3,Escalated
EMP134,2024-04-07,51,4.53,0,Resolved
EMP136,2024-01-19,37,4.44,1,Resolved
EMP136,2024-05-18,53,7.83,4,Escalated
EMP130,2024-02-26,27,4.88,4,Escalated
EMP123,2024-06-27,26,6.93,3,Escalated
EMP138,2024-01-04,52,6.8,3,Escalated
EMP139,2024-06-15,56,5.02,0,Resolved
EMP148,2024-02-03,57,8.23,3,Escalated
EMP123,2024-02-17,37,5.75,4,Escalated
EMP138,2024-05-19,50,6.7,5,Escalated
EMP145,2024-04-26,50,4.51,5,Escalated
EMP122,2024-02-07,45,6.17,3,Escalated
EMP108,2024-04-02,60,5.92,4,Escalated
EMP137,2024-06-07,37,5.93,4,Escalated
EMP103,2024-05-27,56,8.29,2,Resolved
EMP139,2024-06-06,39,7.31,3,Escalated
EMP145,2024-04-23,27,5.34,1,Resolved
EMP116,2024-04-28,40,5.51,0,Resolved
EMP144,2024-05-08,49,4.7,5,Escalated
EMP126,2024-01-15,27,6.29,1,Resolved
EMP139,2024-05-23,37,5.66,0,Resolved
EMP141,2024-02-10,40,6.5,6,Escalated
EMP116,2024-04-04,49,6.15,5,Escalated
EMP123,2024-01-27,46,5.19,1,Resolved
EMP118,2024-02-07,38,4.87,2,Resolved
EMP101,2024-02-12,43,7.5,3,Escalated
EMP125,2024-03-27,57,6.59,3,Escalated
EMP136,2024-01-02,32,5.89,3,Escalated
EMP122,2024-06-07,39,4.78,1,Resolved
EMP107,2024-01-22,58,6.97,0,Resolved
EMP150,2024-02-04,25,4.12,1,Resolved
EMP108,2024-02-11,55,7.88,2,Resolved
EMP149,2024-01-24,37,7.58,4,Escalated
EMP136,2024-05-01,32,7.99,5,Escalated
EMP115,2024-03-30,32,8.36,3,Escalated
EMP130,2024-04-07,48,4.08,5,Escalated
EMP129,2024-02-01,44,4.33,4,Escalated
EMP112,2024-03-05,32,5.96,1,Resolved
EMP125,2024-02-17,33,6.91,1,Resolved
EMP113,2024-06-26,48,4.66,3,Escalated
EMP106,2024-04-22,46,7.82,3,Escalated
EMP142,2024-02-14,52,4.25,0,Resolved
EMP102,2024-02-12,34,5.63,3,Escalated
EMP148,2024-06-27,39,7.82,0,Resolved
EMP143,2024-06-04,26,7.11,4,Escalated
EMP142,2024-01-24,59,6.08,6,Escalated
EMP133,2024-04-17,35,7.46,3,Escalated
EMP138,2024-06-20,55,7.08,6,Escalated
EMP129,2024-04-04,35,7.5,3,Escalated
EMP107,2024-06-20,39,7.04,4,Escalated
EMP109,2024-03-03,25,6.57,5,Escalated
EMP138,2024-04-03,46,5.47,6,Escalated
EMP125,2024-03-03,30,8.35,3,Escalated
EMP149,2024-05-20,39,8.47,2,Resolved
EMP122,2024-05-03,45,5.52,6,Escalated
EMP136,2024-02-15,32,4.42,4,Escalated
EMP150,2024-03-21,54,8.15,4,Escalated
EMP141,2024-05-06,51,7.02,1,Resolved
EMP124,2024-06-14,36,7.47,3,Escalated
EMP125,2024-05-19,35,4.8,0,Resolved
EMP137,2024-04-19,33,5.47,1,Resolved
EMP145,2024-04-15,43,8.39,5,Escalated
EMP108,2024-05-12,38,4.95,1,Resolved
EMP138,2024-04-11,33,8.24,0,Resolved
EMP123,2024-05-19,40,7.1,0,Resolved
EMP146,2024-05-15,31,5.96,3,Escalated
EMP148,2024-03-22,53,7.22,1,Resolved
EMP108,2024-01-08,50,6.99,1,Resolved
EMP121,2024-04-24,46,7.38,1,Resolved
EMP143,2024-04-30,34,7.24,0,Resolved
EMP112,2024-02-27,46,7.73,1,Resolved
EMP102,2024-05-25,48,6.91,0,Resolved
EMP146,2024-04-29,57,5.83,2,Resolved
EMP136,2024-05-09,45,8.11,5,Escalated
EMP116,2024-03-02,43,4.04,3,Escalated
EMP121,2024-05-28,32,7.14,0,Resolved
EMP140,2024-05-02,55,5.14,4,Escalated
EMP120,2024-01-22,60,5.87,2,Resolved
EMP111,2024-01-24,31,4.9,5,Escalated
EMP147,2024-04-25,53,6.03,5,Escalated
EMP116,2024-02-02,55,6.66,2,Resolved
EMP108,2024-06-23,39,5.81,5,Escalated
EMP106,2024-01-21,38,7.04,2,Resolved
EMP139,2024-01-13,33,6.75,0,Resolved
EMP136,2024-02-21,40,8.32,3,Escalated
EMP135,2024-03-17,54,6.65,0,Resolved
EMP130,2024-03-30,59,4.45,3,Escalated
EMP144,2024-06-26,37,4.4,3,Escalated
EMP148,2024-05-03,26,8.04,4,Escalated
EMP149,2024-04-09,55,4.26,2,Resolved
EMP112,2024-01-03,37,7.34,6,Escalated
EMP111,2024-01-07,55,7.81,2,Resolved
EMP136,2024-02-11,50,5.72,5,Escalated
EMP137,2024-02-15,28,5.21,4,Escalated
EMP128,2024-04-04,55,5.82,5,Escalated
EMP105,2024-01-28,49,6.3,2,Resolved
EMP124,2024-01-02,39,7.14,2,Resolved
EMP106,2024-05-25,55,6.43,3,Escalated
EMP126,2024-03-16,31,8.41,6,Escalated
EMP114,2024-05-16,34,8.08,2,Resolved
EMP119,2024-05-19,52,7.24,6,Escalated
EMP148,2024-03-20,57,6.66,1,Resolved
EMP123,2024-04-22,56,6.55,4,Escalated
EMP104,2024-03-01,33,5.91,6,Escalated
EMP130,2024-06-09,25,6.76,5,Escalated
EMP141,2024-05-22,54,6.35,4,Escalated
EMP115,2024-02-29,43,6.93,4,Escalated
EMP119,2024-06-07,34,5.79,4,Escalated
EMP107,2024-02-20,44,6.73,0,Resolved
EMP117,2024-04-06,32,6.33,1,Resolved
EMP148,2024-01-17,50,7.65,1,Resolved
EMP143,2024-05-26,46,7.3,1,Resolved
EMP117,2024-04-25,38,4.06,2,Resolved
EMP125,2024-01-11,58,7.3,4,Escalated
EMP131,2024-03-20,56,5.53,2,Resolved
EMP102,2024-02-16,34,7.04,0,Resolved
EMP107,2024-04-25,52,8.45,0,Resolved
EMP104,2024-01-23,28,6.99,3,Escalated
EMP126,2024-04-30,33,5.35,4,Escalated
EMP110,2024-03-06,49,6.29,2,Resolved
EMP107,2024-03-13,53,4.91,0,Resolved
EMP148,2024-05-16,25,8.15,4,Escalated
EMP114,2024-03-06,25,7.78,0,Resolved
EMP103,2024-04-26,36,4.73,2,Resolved
EMP128,2024-01-28,40,6.21,6,Escalated
EMP105,2024-05-18,30,4.37,0,Resolved
EMP109,2024-02-29,35,6.25,2,Resolved
EMP139,2024-02-21,47,7.32,4,Escalated
EMP143,2024-01-26,49,5.92,4,Escalated
EMP122,2024-04-12,55,6.66,1,Resolved
EMP117,2024-03-14,56,4.55,4,Escalated
EMP129,2024-06-24,49,4.74,3,Escalated
EMP134,2024-03-11,48,5.0,3,Escalated
EMP143,2024-06-11,37,7.03,6,Escalated
EMP130,2024-01-30,40,5.63,0,Resolved
EMP108,2024-02-11,31,5.14,5,Escalated
EMP122,2024-03-15,56,5.52,1,Resolved
EMP143,2024-02-21,40,4.02,1,Resolved
EMP129,2024-02-28,55,4.97,4,Escalated
EMP122,2024-05-03,42,5.07,2,Resolved
EMP113,2024-05-02,52,5.45,6,Escalated
EMP143,2024-03-26,33,8.1,0,Resolved
EMP113,2024-04-13,28,5.74,1,Resolved
EMP118,2024-04-13,57,8.07,3,Escalated
EMP108,2024-05-31,26,7.97,5,Escalated
EMP140,2024-05-22,46,4.02,0,Resolved
EMP103,2024-05-31,60,6.38,3,Escalated
EMP137,2024-03-22,45,5.71,0,Resolved
EMP134,2024-03-22,46,7.08,2,Resolved
EMP112,2024-05-06,55,7.36,4,Escalated
EMP141,2024-03-16,57,6.18,3,Escalated
EMP136,2024-06-03,49,6.04,3,Escalated
EMP137,2024-06-27,47,7.35,4,Escalated
EMP118,2024-03-15,37,5.67,0,Resolved
EMP126,2024-02-03,57,4.66,4,Escalated
EMP107,2024-02-09,47,4.34,5,Escalated
EMP127,2024-03-19,49,5.73,2,Resolved
EMP126,2024-03-05,51,4.64,3,Escalated
EMP117,2024-01-02,36,6.78,6,Escalated
EMP136,2024-01-19,40,7.97,0,Resolved
EMP101,2024-04-20,45,7.66,0,Resolved
EMP105,2024-06-10,55,5.4,4,Escalated
EMP140,2024-02-06,57,5.37,5,Escalated
EMP123,2024-02-06,48,5.88,1,Resolved
EMP111,2024-01-27,40,4.09,2,Resolved
EMP123,2024-01-11,46,4.75,5,Escalated
EMP113,2024-02-07,32,8.47,0,Resolved
EMP147,2024-05-18,32,8.4,4,Escalated
EMP123,2024-01-02,27,8.41,4,Escalated
EMP128,2024-05-09,60,5.02,5,Escalated
EMP132,2024-03-07,57,6.47,6,Escalated
EMP109,2024-05-13,55,7.31,1,Resolved
EMP111,2024-04-28,28,5.64,0,Resolved
EMP145,2024-02-08,35,4.55,1,Resolved
EMP123,2024-06-17,42,8.22,1,Resolved
EMP145,2024-02-15,46,6.81,2,Resolved
EMP116,2024-03-19,59,6.08,6,Escalated
EMP115,2024-06-05,46,5.39,2,Resolved
EMP119,2024-04-09,49,7.16,2,Resolved
EMP150,2024-02-21,44,7.92,3,Escalated
EMP132,2024-04-24,47,4.17,4,Escalated
EMP130,2024-06-27,33,5.88,3,Escalated
EMP106,2024-05-28,60,6.45,3,Escalated
EMP139,2024-04-23,48,7.82,1,Resolved
EMP111,2024-03-24,54,4.73,2,Resolved
EMP129,2024-02-16,50,5.82,1,Resolved
EMP133,2024-04-06,30,8.47,1,Resolved
EMP118,2024-04-25,30,7.79,0,Resolved
EMP104,2024-01-31,57,7.06,5,Escalated
EMP144,2024-01-26,47,8.29,0,Resolved
EMP107,2024-04-26,46,7.14,1,Resolved
EMP126,2024-05-28,59,5.55,3,Escalated
EMP107,2024-03-30,49,7.02,4,Escalated
EMP108,2024-02-26,44,6.73,2,Resolved
EMP142,2024-05-19,27,6.9,0,Resolved
EMP135,2024-01-24,29,8.23,5,Escalated
EMP114,2024-03-22,31,8.38,1,Resolved
EMP104,2024-01-27,40,7.29,3,Escalated
EMP112,2024-05-17,56,7.78,4,Escalated
EMP131,2024-03-23,40,5.15,5,Escalated
EMP136,2024-01-26,37,4.39,2,Resolved
EMP109,2024-03-18,29,7.62,6,Escalated
EMP146,2024-04-04,59,7.16,3,Escalated
EMP112,2024-05-12,33,5.99,4,Escalated
EMP137,2024-06-09,35,7.94,1,Resolved
EMP114,2024-05-21,41,5.8,4,Escalated
EMP108,2024-05-18,60,5.63,5,Escalated
EMP147,2024-03-19,32,7.24,0,Resolved
EMP119,2024-01-10,39,6.18,4,Escalated
EMP141,2024-06-19,48,5.68,6,Escalated
EMP122,2024-01-14,42,6.52,5,Escalated
EMP133,2024-06-01,47,7.14,4,Escalated
EMP140,2024-05-17,54,4.87,6,Escalated
EMP123,2024-01-21,41,6.36,0,Resolved
EMP112,2024-06-20,58,5.21,1,Resolved
EMP137,2024-02-15,32,5.55,1,Resolved
EMP139,2024-06-05,30,8.14,5,Escalated
EMP133,2024-01-06,49,5.33,0,Resolved
EMP102,2024-02-17,37,4.5,3,Escalated
EMP118,2024-01-04,45,5.09,6,Escalated
EMP121,2024-05-24,31,6.47,5,Escalated
EMP126,2024-06-21,31,7.88,6,Escalated
EMP149,2024-06-25,48,7.67,6,Escalated
EMP119,2024-04-07,54,7.79,1,Resolved
EMP149,2024-02-06,35,7.16,5,Escalated
EMP142,2024-01-29,40,6.42,2,Resolved
EMP123,2024-03-03,50,6.82,4,Escalated
EMP133,2024-02-28,54,5.77,0,Resolved
EMP137,2024-01-24,44,6.06,6,Escalated
EMP103,2024-02-11,30,8.21,6,Escalated
EMP144,2024-03-22,30,4.56,3,Escalated
EMP101,2024-04-13,28,4.95,1,Resolved
EMP133,2024-04-07,43,5.02,3,Escalated
EMP134,2024-06-27,36,6.44,3,Escalated
EMP137,2024-01-08,30,8.01,0,Resolved
EMP113,2024-04-14,27,7.2,2,Resolved
EMP109,2024-06-23,51,6.89,2,Resolved
EMP149,2024-05-08,46,7.67,3,Escalated
EMP141,2024-06-16,52,7.09,3,Escalated
EMP150,2024-02-09,57,5.73,0,Resolved
EMP132,2024-03-01,55,4.86,2,Resolved
EMP148,2024-06-11,55,4.58,6,Escalated
EMP119,2024-03-17,54,6.06,5,Escalated
EMP134,2024-02-06,53,7.05,6,Escalated
EMP116,2024-04-25,55,5.8,1,Resolved
EMP116,2024-06-17,56,7.48,6,Escalated
EMP105,2024-06-23,60,8.07,5,Escalated
EMP121,2024-05-16,47,4.31,3,Escalated
EMP126,2024-02-11,54,7.75,4,Escalated
EMP150,2024-04-09,51,7.95,0,Resolved
EMP124,2024-04-01,34,4.22,3,Escalated
EMP113,2024-01-24,54,6.22,4,Escalated
EMP129,2024-03-06,47,4.62,2,Resolved
EMP137,2024-03-27,45,5.86,3,Escalated
EMP121,2024-05-10,50,6.72,0,Resolved
